,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Master Teague,Teague21PROSPECTRB,Ohio State,Big Ten,PROSPECT,PROSPECT,RB,2021 PROSPECT,20,1,0.0,17.0,106.0,6.2,4.0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.1,0.1,0.1,0.1,4.5,2.3,2.3,2.3,2.3,-12.8,-12.8,-12.8,-,16.60,16.60,16.60,-,4.15,4.15,4.15,-,-1.0,NA,0.00,0.00,-12.8,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Jermar Jefferson,Jefferson21PROSPECTRB,Oregon State,Pac-12,PROSPECT,PROSPECT,RB,2021 PROSPECT,20,1,25.0,264.0,1527.0,5.8,12.0,1,2.1,9.6,9.6,9.6,9.6,90.4,1.7,1.7,1.7,1.7,55.8,29.1,29.1,29.1,29.1,20.6,20.6,20.6,-,249.70,249.70,249.70,-,20.81,20.81,20.81,-,1.7,NA,0.00,0.00,20.6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Ricky Slade,Slade21PROSPECTRB,Penn State,Big Ten,PROSPECT,PROSPECT,RB,2021 PROSPECT,20,1,1.0,42.0,242.0,5.8,8.0,0,0.1,5.0,5.0,5.0,5.0,95.0,0.3,0.3,0.3,0.3,13.6,6.9,6.9,6.9,6.9,-1.6,-1.6,-1.6,-,61.20,61.20,61.20,-,7.65,7.65,7.65,-,-0.1,NA,0.00,0.00,-1.6,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Maurice Washington,Washington21PROSPECTRB,Nebraska,Big Ten,PROSPECT,PROSPECT,RB,2021 PROSPECT,20,1,24.0,101.0,676.0,6.7,11.0,1,2.2,32.7,32.7,32.7,32.7,67.3,0.8,0.8,0.8,0.8,15.0,10.7,10.7,10.7,10.7,2.2,2.2,2.2,-,115.60,115.60,115.60,-,10.51,10.51,10.51,-,0.2,NA,0.00,0.00,2.2,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Keaontay Ingram,Ingram21PROSPECTRB,Texas,Big 12,PROSPECT,PROSPECT,RB,2021 PROSPECT,20,1,24.0,157.0,829.0,5.3,12.0,1,2.0,17.6,17.6,17.6,17.6,82.4,0.9,0.9,0.9,0.9,24.2,14.9,14.9,14.9,14.9,6.5,6.5,6.5,-,136.90,136.90,136.90,-,11.41,11.41,11.41,-,0.5,NA,0.00,0.00,6.5,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Stevie Scott,Scott21PROSPECTRB,Indiana,Big Ten,PROSPECT,PROSPECT,RB,2021 PROSPECT,20,1,16.0,244.0,1223.0,5.0,12.0,0,1.3,7.0,7.0,7.0,7.0,93.0,1.4,1.4,1.4,1.4,59.3,31.6,31.6,31.6,31.6,23.1,23.1,23.1,-,204.30,204.30,204.30,-,17.03,17.03,17.03,-,1.9,NA,0.00,0.00,23.1,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Chris Evans,Evans21PROSPECTRB,Michigan,Big Ten,PROSPECT,PROSPECT,RB,2021 PROSPECT,22,3,40.0,344.0,2114.0,6.1,36.0,0,1.1,12.4,25.9,25.9,18.5,81.5,0.8,1.0,0.6,0.8,20.9,8.7,10.1,17.7,12.2,0.3,-10.1,1.8,-2.7,100.10,105.10,142.20,115.80,7.70,10.51,10.94,9.72,-1.4,NA,0.00,5.74,0.3,1.8,-10.1,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Chuba Hubbard,Hubbard21PROSPECTRB,Oklahoma State,Big 12,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,2,42.0,476.0,3079.0,6.5,26.0,1,1.6,24.4,24.4,8.6,12.7,87.3,0.9,2.5,2.5,1.7,73.6,14.4,38.5,38.5,26.5,-1.5,18.2,18.2,8.4,145.70,378.20,378.20,261.95,11.21,29.09,29.09,20.15,3.3,NA,0.00,10.49,,-1.5,18.2,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Khalan Laborn,Laborn21PROSPECTRB,Florida State,ACC,PROSPECT,PROSPECT,RB,2021 PROSPECT,21,2,11.0,74.0,400.0,5.4,12.0,0,0.9,100.0,100.0,18.2,25.8,74.3,0.0,0.4,0.4,0.2,17.6,0.3,9.3,9.3,4.8,-15.6,-11.0,-11.0,-13.3,4.70,70.30,70.30,37.50,2.35,7.03,7.03,4.69,-5.3,NA,0.00,4.14,,-15.6,-11.0,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
